
LIVE-TV_736128235,#genre#

LIVE SHOW,http://77bo.12345678022.com:80/live/cx_6648.flv
三立LIVE新闻,http://23.237.10.66:16342
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
三立Set INEWS,http://98.142.138.122:1636/zhiboyuandakaTV/sanli743729.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php$高清1080P
澳门莲花2,http://anren.live/HK/BiIOU11uLA.m3u8$高清1080P
澳门莲花3,https://p.ggiptv.com/v/macaulotustv.php$高清720P
美亚电影台,http://pull-flv-l6.ixigua.com/live/2.flv
TVB翡翠台,http://98.142.138.122:1633/zhiboyuandakaTV/tvbjade.m3u8
欧美大片,http://bp-caster.bestv.com.cn/102/2/video.m3u8
惊险电影致命弯道4,https://s7.fsvod1.com/20220830/O9CuNRPZ/1200kb/hls/index.m3u8
MTV白标en,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS01/master.m3u8
天映经典CCM,http://120.84.96.53:808/hls/85/index.m3u8
天映经典,http://171.108.239.13:8181/tsfile/live/1009_1.m3u8
天映经典2,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
Y+频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/index.m3u8
TVB剧集,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8
TVB剧集2,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_-1298155843/PLTV/88888888/224/3221231733/1.m3u8


kktv5轮播,#genre#

星光视界,http://hpull.kktv8.com/livekktv/150330251/playlist.m3u8
经典老电影,http://171.108.239.70:8181/tsfile/live/1009_1.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
【星爷经典】午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
??【女神经典】??,https://pull.kktv8.com/livekktv/99350550.flv
金马影院,https://pull.kktv8.com/livekktv/128600025.flv
【经典重温】飞鹰影院,https://pull.kktv8.com/livekktv/155370802.flv
【港片经典】贝爷影院,https://pull.kktv8.com/livekktv/99592144.flv
富豪143960119,https://pull.kktv8.com/livekktv/143960119.flv
【恐怖惊悚】鲲鹏剧场,https://pull.kktv8.com/livekktv/133756593.flv
【武侠剧场】大片剧场,https://pull.kktv8.com/livekktv/154355027.flv
【特种兵剧场】,https://pull.kktv8.com/livekktv/126236957.flv
【古装重温】番茄影院,https://pull.kktv8.com/livekktv/155443364.flv
Kk大明星,https://pull.kktv8.com/livekktv/104621340.flv
【军旅剧场】,https://pull.kktv8.com/livekktv/149195765.flv
【比芯影院】汇聚经典,https://pull.kktv8.com/livekktv/111536805.flv
【怀旧剧院】致敬三国,https://pull.kktv8.com/livekktv/153793844.flv
【菲猫影视】经典重现,https://pull.kktv8.com/livekktv/155906661.flv
安鑫儿电影频道,https://pull.kktv8.com/livekktv/154056602.flv
【小黄鸭影院】经典,https://pull.kktv8.com/livekktv/108225974.flv
【电影影院】,https://pull.kktv8.com/livekktv/105372204.flv
【时光电影】经典电影,https://pull.kktv8.com/livekktv/145530734.flv
静默影院,https://pull.kktv8.com/livekktv/154966388.flv
【经典剧场】,https://pull.kktv8.com/livekktv/100653018.flv
睿睿影院,https://pull.kktv8.com/livekktv/157292865.flv
【妖精电影】开心影院,https://pull.kktv8.com/livekktv/97958887.flv
【超清影院】自助点播,https://pull.kktv8.com/livekktv/142943634.flv
【发哥影院】,https://pull.kktv8.com/livekktv/155711839.flv
【贝贝影视】,https://pull.kktv8.com/livekktv/149145174.flv
【开心影院】星爷经典,https://pull.kktv8.com/livekktv/134129360.flv
【好看电影院】,https://pull.kktv8.com/livekktv/156812317.flv
【伟伟影院】,https://pull.kktv8.com/livekktv/156775230.flv
[33影院],https://pull.kktv8.com/livekktv/156666157.flv


yy轮播,#genre#

10人铁笼大战(阿飞搏击),http://data.3g.yy.com/live/hls/1355277405/1355277405
人间怪兽，大黑羊(虔诚),http://data.3g.yy.com/live/hls/1382690043/1382690043
无规则男女摔跤(WWE-晨阳),http://data.3g.yy.com/live/hls/1351073299/1351073299
精彩搏击战(钱小豪),http://data.3g.yy.com/live/hls/1354946972/1354946972
快看！精彩摔跤(百度-阿峰-搏击),http://data.3g.yy.com/live/hls/1337194708/1337194708
美女大战超好看(阿豪 挺住了),http://data.3g.yy.com/live/hls/1382768030/1382768030
天呐~男女无规则~(阿福),http://data.3g.yy.com/live/hls/1382623703/1382623703
快看！美女大战(狗子),http://data.3g.yy.com/live/hls/1459727675/1459727675
美女无规则赛(天赐),http://data.3g.yy.com/live/hls/1355501554/1355501554
yy经典剧集,http://data.3g.yy.com/live/hls/1382766568/1382766568
yy港片鬼片500部(伊拉电影),http://mmitv.top/pltv/yy.php?id=1353059120
电影-女鬼来了(阿良电影),http://mmitv.top/pltv/yy.php?id=1454587259
绝版鬼片300部(湖北无心),http://mmitv.top/pltv/yy.php?id=1353587611
听郭德纲讲相声(听郭德纲讲相声),http://mmitv.top/pltv/yy.php?id=1382736854
开心一刻(开心),http://mmitv.top/pltv/yy.php?id=1353196797
小品合集(小品合集),http://mmitv.top/pltv/yy.php?id=1354931503
封神榜(妲己),http://mmitv.top/pltv/yy.php?id=29460894
封神榜(大妞),http://mmitv.top/pltv/yy.php?id=1355268573
风云雄霸天下(第二梦),http://mmitv.top/pltv/yy.php?id=37999586
天龙八部(小铃儿),http://mmitv.top/pltv/yy.php?id=1351814644
天龙八部-苏七七(苏七七),http://mmitv.top/pltv/yy.php?id=68260522
昕朵儿鹿鼎记(昕朵儿),http://mmitv.top/pltv/yy.php?id=1355269576
鹿鼎记-高清全集(小闹闹),http://mmitv.top/pltv/yy.php?id=1382704650
【鹿鼎记】金庸经典(彤彤),http://mmitv.top/pltv/yy.php?id=28265277
【战狼3吴京】首播(童菲菲),http://mmitv.top/pltv/yy.php?id=1449998579
【战狼4】吴京(韓晶晶),http://mmitv.top/pltv/yy.php?id=1354784284
【电影】动作系列(义+曦曦),http://mmitv.top/pltv/yy.php?id=14730996
古惑仔全集(大美),http://mmitv.top/pltv/yy.php?id=1460913377
星爷功夫 经典武侠(晓蝶祝大家中秋快乐),http://mmitv.top/pltv/yy.php?id=74613175
星爷赌片 超经典(蜜蜜),http://mmitv.top/pltv/yy.php?id=1353881242
举起手来(妮妮Nini),http://mmitv.top/pltv/yy.php?id=1382736877
奇幻鬼怪300部(小乔),http://mmitv.top/pltv/yy.php?id=1459714870
】济公】游本昌(点关注),http://mmitv.top/pltv/yy.php?id=25519088
经典港片超好看(小情宝),http://mmitv.top/pltv/yy.php?id=1355364378
经典港片600部(大雄),http://mmitv.top/pltv/yy.php?id=1382660958
港片电影(小玖电影),http://mmitv.top/pltv/yy.php?id=33897188
绝版电影600部(蛋蛋),http://mmitv.top/pltv/yy.php?id=1382764593
僵尸鬼片大全 美女陪(爱宝鬼片),http://mmitv.top/pltv/yy.php?id=1335509613
英叔全集经典电影(小姐姐),http://mmitv.top/pltv/yy.php?id=1354869861
泡芙陪你看电影(小泡芙),http://mmitv.top/pltv/yy.php?id=24407222
赵本山《超清版》(【聚星】小摩登),http://mmitv.top/pltv/yy.php?id=1382683959
蜀山奇侠传(石生),http://mmitv.top/pltv/yy.php?id=1382766568
英叔僵尸鬼片大全(林正英),http://mmitv.top/pltv/yy.php?id=1354575019
鬼片喜剧动作大全(电影),http://mmitv.top/pltv/yy.php?id=1355480591



douyu轮播,#genre#

douyu邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
鬼片恐怖惊悚,http://maomao.kandiantv.cn/douyu1.php?id=2935323
恐怖故事,http://maomao.kandiantv.cn/douyu1.php?id=2337939
douyu女神金,http://maomao.kandiantv.cn/douyu1.php?id=747764
科幻动作,http://maomao.kandiantv.cn/douyu1.php?id=4332
怡寳影院,http://maomao.kandiantv.cn/douyu1.php?id=434971
粤语电影,http://maomao.kandiantv.cn/douyu1.php?id=6566671
神乐影院,http://maomao.kandiantv.cn/douyu1.php?id=85894
苹果影院,http://maomao.kandiantv.cn/douyu1.php?id=2793084
萌牛影院,http://maomao.kandiantv.cn/douyu1.php?id=7494871
午夜故事,http://maomao.kandiantv.cn/douyu1.php?id=8722254
功夫港片,http://maomao.kandiantv.cn/douyu1.php?id=3637765
超清港剧,http://maomao.kandiantv.cn/douyu1.php?id=223521
桃花影院,http://maomao.kandiantv.cn/douyu1.php?id=7305938
贝贝影院,http://maomao.kandiantv.cn/douyu1.php?id=431460
译制国语,http://maomao.kandiantv.cn/douyu1.php?id=2436390
幸运影院,http://maomao.kandiantv.cn/douyu1.php?id=7270927
黎黎影院,http://maomao.kandiantv.cn/douyu1.php?id=7116591
蚂蚱影院,http://maomao.kandiantv.cn/douyu1.php?id=6079455
纪录片,http://maomao.kandiantv.cn/douyu1.php?id=4360438
贝爷求生,http://maomao.kandiantv.cn/douyu1.php?id=454867
野外生存,http://maomao.kandiantv.cn/douyu1.php?id=1339207
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
鬼片恐怖惊悚,http://maomao.kandiantv.cn/douyu1.php?id=2935323
恐怖故事,http://maomao.kandiantv.cn/douyu1.php?id=2337939
科幻动作,http://maomao.kandiantv.cn/douyu1.php?id=4332
怡寳影院,http://maomao.kandiantv.cn/douyu1.php?id=434971
粤语电影,http://maomao.kandiantv.cn/douyu1.php?id=6566671
神乐影院,http://maomao.kandiantv.cn/douyu1.php?id=85894
苹果影院,http://maomao.kandiantv.cn/douyu1.php?id=2793084
萌牛影院,http://maomao.kandiantv.cn/douyu1.php?id=7494871
午夜故事,http://maomao.kandiantv.cn/douyu1.php?id=8722254
功夫港片,http://maomao.kandiantv.cn/douyu1.php?id=3637765
超清港剧,http://maomao.kandiantv.cn/douyu1.php?id=223521
桃花影院,http://maomao.kandiantv.cn/douyu1.php?id=7305938
贝贝影院,http://maomao.kandiantv.cn/douyu1.php?id=431460
译制国语,http://maomao.kandiantv.cn/douyu1.php?id=2436390
幸运影院,http://maomao.kandiantv.cn/douyu1.php?id=7270927
黎黎影院,http://maomao.kandiantv.cn/douyu1.php?id=7116591
蚂蚱影院,http://maomao.kandiantv.cn/douyu1.php?id=6079455
纪录片,http://maomao.kandiantv.cn/douyu1.php?id=4360438
贝爷求生,http://maomao.kandiantv.cn/douyu1.php?id=454867
野外生存,http://maomao.kandiantv.cn/douyu1.php?id=1339207



bili轮播,#genre#

邵氏老老老电影(爱干饭的老实人),http://epg.112114.xyz/bili/1968287
邵氏老老老电影(爱干饭的老实人)2,http://mmitv.top/pltv/bili.php?id=1968287
邵氏老老老电影(爱干饭的老实人)3,http://1.117.152.239:39000/bili.php?id=1968287
邵氏老老老电影(爱干饭的老实人)4,https://cn-sdyt-cu-01-31.bilivideo.com/live-bvc/701055/live_23601856_2325061.m3u8
bili经典功夫台(勋香有你),http://mmitv.top/pltv/bili.php?id=21715386
bili经典功夫台1(勋香有你),http://epg.112114.xyz/bili/21715386
*bili经典功夫台2(勋香有你),https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
bili经典功夫台3(勋香有你),https://cn-sdyt-cu-01-22.bilivideo.com/live-bvc/289635/live_179302204_68184269.m3u8
bili龍腾剧集(龍腾剧集HD),http://mmitv.top/pltv/bili.php?id=24848187
bili龍腾剧集2(龍腾剧集HD),https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/
bili經典劇集(bili_25192510001),http://zzy789.xyz/bili.php?id=23285297
bili經典劇集2(bili_25192510001),https://cn-sdyt-cu-01-33.bilivideo.com/live-bvc/952721/live_1907351534_29661727.m3u8
bili經典劇集3(bili_25192510001),https://cn-sdyt-cu-01-33.bilivideo.com/live-bvc/880791/live_1907351534_29661727.m3u8
*bili經典劇集4(bili_25192510001),https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/880791/live_1907351534_29661727.m3u8
bili经典功夫台-1(勋香有你),http://zzy789.xyz/bili.php?id=21715386
bili经典功夫台-2(勋香有你),https://cn-sdyt-cu-01-22.bilivideo.com/live-bvc/289635/live_179302204_68184269.m3u8
bili怀旧經典(哇油肯瑞利蛋丝)(四川方言),http://zzy789.xyz/bili.php?id=23169468
bili怀旧經典2(哇油肯瑞利蛋丝(四川方言),https://cn-sdyt-cu-01-33.bilivideo.com/live-bvc/463789/live_233603799_86016368.m3u8
bili經典电影(港台经典),http://zzy789.xyz/bili.php?id=24879511
bili經典电影2(港台经典),https://cn-sdyt-cu-01-31.bilivideo.com/live-bvc/201334/live_1594619876_34410702.m3u8
